ligand,electrophile,electrophile_pci_name,nucleophile,nucleophile_pci_name,yield,ligand_smiles,electrophile_smiles,nucleophile_smiles,product_smiles
PCy3 HBF4,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,62.89,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
CgMe-PPh,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,69.21,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
PPh3,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,61.55,c1ccc(P(c2ccccc2)c2ccccc2)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
X-Phos,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,67.34,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
PnBu3 HBF4,5-Bromobenzofuran,3,2-Isopropyl-1-methyl-1H-imidazole,D,43.98,CCCCP(CCCC)CCCC,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C
A-caPhos,5-Bromo-N-tert-butylpyridine-3-sulfonamide,5,2-Isopropyl-1-methyl-1H-imidazole,D,79.94,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C
BrettPhos,5-Bromo-N-tert-butylpyridine-3-sulfonamide,5,2-Isopropyl-1-methyl-1H-imidazole,D,64.99,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C
CX-FBu,5-Bromo-N-tert-butylpyridine-3-sulfonamide,5,2-Isopropyl-1-methyl-1H-imidazole,D,14.98,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C
CX-PICy,5-Bromo-N-tert-butylpyridine-3-sulfonamide,5,2-Isopropyl-1-methyl-1H-imidazole,D,77.41,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C
Cy-DavePhos,5-Bromo-N-tert-butylpyridine-3-sulfonamide,5,2-Isopropyl-1-methyl-1H-imidazole,D,75.29,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C
